Size, MaxWallTime, MinWallTime, AvgWallTime, MaxCpuTime, MinCpuTime, AvgCpuTime
1, 1.311489, 1.311489, 1.311489 ,1.311462, 1.311462, 1.311462
1, 12.636851, 12.636851, 12.636851 ,12.636303, 12.636303, 12.636303
1, 0.276818, 0.276818, 0.276818 ,0.276707, 0.276707, 0.276707
2, 0.671683, 0.663852, 0.667768 ,0.671627, 0.663755, 0.667691
2, 6.437754, 6.420637, 6.429196 ,6.437492, 6.420613, 6.429053
2, 0.140734, 0.139886, 0.140310 ,0.140650, 0.139841, 0.140246
3, 0.669759, 0.666336, 0.668615 ,0.669694, 0.666252, 0.668472
3, 6.699568, 6.682187, 6.693769 ,6.699526, 6.681907, 6.693575
3, 0.140915, 0.140383, 0.140735 ,0.140805, 0.140377, 0.140661
4, 0.355690, 0.346772, 0.350689 ,0.355681, 0.346770, 0.350670
4, 3.488552, 3.460801, 3.470624 ,3.488227, 3.460696, 3.470485
4, 0.073767, 0.072387, 0.073201 ,0.073671, 0.072314, 0.073127
