Num_Threads, N, RMS, MaxTime, MinTime, AvgTime
1, 1000, 0.021717, 3.101064, 3.101064, 3.101064
1, 5000, 0.021273, 15.332051, 15.332051, 15.332051
1, 10000, 0.021100, 31.472435, 31.472435, 31.472435
1, 20000, 0.021027, 60.826405, 60.826405, 60.826405
2, 1000, 0.022108, 1.528921, 1.526117, 1.527519
2, 5000, 0.021083, 7.646564, 7.645142, 7.645853
2, 10000, 0.020968, 15.219985, 15.196774, 15.208380
2, 20000, 0.021022, 32.113014, 32.107438, 32.110226
3, 1000, 0.021974, 1.213947, 1.211760, 1.212655
3, 5000, 0.021201, 6.177431, 6.167197, 6.171445
3, 10000, 0.021050, 12.962994, 12.944096, 12.955850
3, 20000, 0.020961, 21.732895, 21.709955, 21.724489
4, 1000, 0.021577, 0.813437, 0.812335, 0.812955
4, 5000, 0.020977, 4.171457, 4.165351, 4.168712
4, 10000, 0.020979, 8.360384, 8.349135, 8.354228
4, 20000, 0.020875, 16.745986, 16.721421, 16.731687
