Num_Threads, N, Pi, Time
1, 1 ,0,0.000004
1, 2 ,1,0.000000
1, 4 ,2,0.000002
1, 8 ,4,0.000001
1, 16 ,6,0.000000
1, 32 ,11,0.000001
1, 64 ,18,0.000001
1, 128 ,31,0.000003
1, 256 ,54,0.000009
1, 512 ,97,0.000032
1, 1024 ,172,0.000116
1, 2048 ,309,0.000382
1, 4096 ,564,0.001398
1, 8192 ,1028,0.005062
1, 16384 ,1900,0.018591
1, 32768 ,3512,0.068557
1, 65536 ,6542,0.254900
1, 131072 ,12251,0.960870
1, 5 ,3,0.000003
1, 50 ,15,0.000001
1, 500 ,95,0.000030
1, 5000 ,669,0.001987
1, 50000 ,5133,0.152823
1, 500000 ,41538,12.482126
1, 1 ,0,0.000002
1, 4 ,2,0.000000
1, 16 ,6,0.000001
1, 64 ,18,0.000001
1, 256 ,54,0.000009
1, 1024 ,172,0.000119
1, 4096 ,564,0.001399
1, 16384 ,1900,0.018272
1, 65536 ,6542,0.253350
2, 1 ,0,0.000076
2, 2 ,1,0.000001
2, 4 ,2,0.000001
2, 8 ,4,0.000001
2, 16 ,6,0.000001
2, 32 ,11,0.000001
2, 64 ,18,0.000001
2, 128 ,31,0.000002
2, 256 ,54,0.000007
2, 512 ,97,0.000023
2, 1024 ,172,0.000078
2, 2048 ,309,0.000278
2, 4096 ,564,0.001018
2, 8192 ,1028,0.003682
2, 16384 ,1900,0.013792
2, 32768 ,3512,0.050630
2, 65536 ,6542,0.188514
2, 131072 ,12251,0.709075
2, 5 ,3,0.000076
2, 50 ,15,0.000001
2, 500 ,95,0.000022
2, 5000 ,669,0.001472
2, 50000 ,5133,0.113461
2, 500000 ,41538,9.224668
2, 1 ,0,0.000055
2, 4 ,2,0.000001
2, 16 ,6,0.000001
2, 64 ,18,0.000001
2, 256 ,54,0.000007
2, 1024 ,172,0.000078
2, 4096 ,564,0.001025
2, 16384 ,1900,0.013776
2, 65536 ,6542,0.188121
4, 1 ,0,0.000115
4, 2 ,1,0.000001
4, 4 ,2,0.000001
4, 8 ,4,0.000001
4, 16 ,6,0.000001
4, 32 ,11,0.000001
4, 64 ,18,0.000001
4, 128 ,31,0.000002
4, 256 ,54,0.000004
4, 512 ,97,0.000014
4, 1024 ,172,0.000045
4, 2048 ,309,0.000166
4, 4096 ,564,0.000603
4, 8192 ,1028,0.002161
4, 16384 ,1900,0.008154
4, 32768 ,3512,0.029368
4, 65536 ,6542,0.109758
4, 131072 ,12251,0.411399
4, 5 ,3,0.000072
4, 50 ,15,0.000002
4, 500 ,95,0.000014
4, 5000 ,669,0.000871
4, 50000 ,5133,0.065753
4, 500000 ,41538,5.441094
4, 1 ,0,0.000115
4, 4 ,2,0.000001
4, 16 ,6,0.000001
4, 64 ,18,0.000001
4, 256 ,54,0.000004
4, 1024 ,172,0.000047
4, 4096 ,564,0.000617
4, 16384 ,1900,0.008199
4, 65536 ,6542,0.109837
8, 1 ,0,0.000125
8, 2 ,1,0.000001
8, 4 ,2,0.000001
8, 8 ,4,0.000001
8, 16 ,6,0.000001
8, 32 ,11,0.000001
8, 64 ,18,0.000001
8, 128 ,31,0.000001
8, 256 ,54,0.000003
8, 512 ,97,0.000008
8, 1024 ,172,0.000026
8, 2048 ,309,0.000092
8, 4096 ,564,0.000332
8, 8192 ,1028,0.001218
8, 16384 ,1900,0.004714
8, 32768 ,3512,0.016289
8, 65536 ,6542,0.059720
8, 131072 ,12251,0.227838
8, 5 ,3,0.000119
8, 50 ,15,0.000001
8, 500 ,95,0.000008
8, 5000 ,669,0.000511
8, 50000 ,5133,0.039446
8, 500000 ,41538,3.176562
8, 1 ,0,0.000104
8, 4 ,2,0.000001
8, 16 ,6,0.000001
8, 64 ,18,0.000001
8, 256 ,54,0.000003
8, 1024 ,172,0.000026
8, 4096 ,564,0.000330
8, 16384 ,1900,0.004619
8, 65536 ,6542,0.059847
