N, Pi, Time
       1,       0,      0.001453
       2,       1,      0.000131
       4,       2,      0.026770
       8,       4,      0.000092
      16,       6,      0.000018
      32,      11,      0.000015
      64,      18,      0.000015
     128,      31,      0.000015
     256,      54,      0.000016
     512,      97,      0.001301
    1024,     172,      0.000020
    2048,     309,      0.000020
    4096,     564,      0.000021
    8192,    1028,      0.000026
   16384,    1900,      0.000051
   32768,    3512,      0.000121
   65536,    6542,      0.000312
  131072,   12251,      0.048010
