N, Pi, Time
       1,       0,      0.000000
       2,       1,      0.000000
       4,       2,      0.000000
       8,       4,      0.000000
      16,       6,      0.000000
      32,      11,      0.000001
      64,      18,      0.000001
     128,      31,      0.000004
     256,      54,      0.000013
     512,      97,      0.000045
    1024,     172,      0.000152
    2048,     309,      0.000535
    4096,     564,      0.001962
    8192,    1028,      0.007084
   16384,    1900,      0.026562
   32768,    3512,      0.096449
   65536,    6542,      0.365806
  131072,   12251,      1.360657
