N, Pi, Time
       1,       0,      0.000000
       2,       1,      0.000000
       4,       2,      0.000000
       8,       4,      0.000001
      16,       6,      0.000000
      32,      11,      0.000000
      64,      18,      0.000000
     128,      31,      0.000000
     256,      54,      0.000002
     512,      97,      0.000004
    1024,     172,      0.000008
    2048,     309,      0.000020
    4096,     564,      0.000052
    8192,    1028,      0.000131
   16384,    1900,      0.000321
   32768,    3512,      0.000814
   65536,    6542,      0.002056
  131072,   12251,      0.005188
