N, Pi, Time
       1,       0,      0.001156
       2,       1,      0.001982
       4,       2,      0.002466
       8,       4,      0.001510
      16,       6,      0.035418
      32,      11,      0.064744
      64,      18,      0.000017
     128,      31,      0.000016
     256,      54,      0.000018
     512,      97,      0.000019
    1024,     172,      0.000025
    2048,     309,      0.000075
    4096,     564,      0.000276
    8192,    1028,      0.045901
   16384,    1900,      0.007935
   32768,    3512,      0.192546
   65536,    6542,      0.592592
  131072,   12251,      1.766320
