Num_Threads, N, Pi, Time
1, 1 ,0,0.000009
1, 2 ,1,0.000003
1, 4 ,2,0.000006
1, 8 ,4,0.000003
1, 16 ,6,0.000003
1, 32 ,11,0.000006
1, 64 ,18,0.000004
1, 128 ,31,0.000008
1, 256 ,54,0.000009
1, 512 ,97,0.000023
1, 1024 ,172,0.000044
1, 2048 ,309,0.000110
1, 4096 ,564,0.000287
1, 8192 ,1028,0.000711
1, 16384 ,1900,0.001850
1, 32768 ,3512,0.004627
1, 65536 ,6542,0.010340
1, 131072 ,12251,0.009257
1, 5 ,3,0.000002
1, 50 ,15,0.000001
1, 500 ,95,0.000005
1, 5000 ,669,0.000066
1, 50000 ,5133,0.001380
1, 500000 ,41538,0.032707
1, 1 ,0,0.000002
1, 4 ,2,0.000001
1, 16 ,6,0.000002
1, 64 ,18,0.000001
1, 256 ,54,0.000002
1, 1024 ,172,0.000009
1, 4096 ,564,0.000050
1, 16384 ,1900,0.000312
1, 65536 ,6542,0.001990
2, 1 ,0,0.000064
2, 2 ,1,0.000001
2, 4 ,2,0.000001
2, 8 ,4,0.000001
2, 16 ,6,0.000001
2, 32 ,11,0.000001
2, 64 ,18,0.000001
2, 128 ,31,0.000001
2, 256 ,54,0.000002
2, 512 ,97,0.000003
2, 1024 ,172,0.000006
2, 2048 ,309,0.000014
2, 4096 ,564,0.000032
2, 8192 ,1028,0.000079
2, 16384 ,1900,0.000201
2, 32768 ,3512,0.000496
2, 65536 ,6542,0.001252
2, 131072 ,12251,0.003222
2, 5 ,3,0.000066
2, 50 ,15,0.000001
2, 500 ,95,0.000003
2, 5000 ,669,0.000040
2, 50000 ,5133,0.000877
2, 500000 ,41538,0.019990
2, 1 ,0,0.000053
2, 4 ,2,0.000001
2, 16 ,6,0.000001
2, 64 ,18,0.000001
2, 256 ,54,0.000002
2, 1024 ,172,0.000006
2, 4096 ,564,0.000030
2, 16384 ,1900,0.000191
2, 65536 ,6542,0.001290
4, 1 ,0,0.000115
4, 2 ,1,0.000001
4, 4 ,2,0.000001
4, 8 ,4,0.000001
4, 16 ,6,0.000001
4, 32 ,11,0.000001
4, 64 ,18,0.000001
4, 128 ,31,0.000001
4, 256 ,54,0.000001
4, 512 ,97,0.000002
4, 1024 ,172,0.000003
4, 2048 ,309,0.000007
4, 4096 ,564,0.000017
4, 8192 ,1028,0.000047
4, 16384 ,1900,0.000108
4, 32768 ,3512,0.000269
4, 65536 ,6542,0.000688
4, 131072 ,12251,0.001795
4, 5 ,3,0.000086
4, 50 ,15,0.000001
4, 500 ,95,0.000002
4, 5000 ,669,0.000022
4, 50000 ,5133,0.000464
4, 500000 ,41538,0.011231
4, 1 ,0,0.000089
4, 4 ,2,0.000001
4, 16 ,6,0.000001
4, 64 ,18,0.000001
4, 256 ,54,0.000001
4, 1024 ,172,0.000004
4, 4096 ,564,0.000017
4, 16384 ,1900,0.000104
4, 65536 ,6542,0.000674
8, 1 ,0,0.000069
8, 2 ,1,0.000002
8, 4 ,2,0.000001
8, 8 ,4,0.000001
8, 16 ,6,0.000001
8, 32 ,11,0.000001
8, 64 ,18,0.000002
8, 128 ,31,0.000002
8, 256 ,54,0.000002
8, 512 ,97,0.000002
8, 1024 ,172,0.000003
8, 2048 ,309,0.000005
8, 4096 ,564,0.000010
8, 8192 ,1028,0.000023
8, 16384 ,1900,0.000057
8, 32768 ,3512,0.000140
8, 65536 ,6542,0.000359
8, 131072 ,12251,0.000945
8, 5 ,3,0.000103
8, 50 ,15,0.000002
8, 500 ,95,0.000002
8, 5000 ,669,0.000013
8, 50000 ,5133,0.000251
8, 500000 ,41538,0.006045
8, 1 ,0,0.000067
8, 4 ,2,0.000001
8, 16 ,6,0.000001
8, 64 ,18,0.000002
8, 256 ,54,0.000002
8, 1024 ,172,0.000003
8, 4096 ,564,0.000012
8, 16384 ,1900,0.000072
8, 65536 ,6542,0.000470
